fare_id,price,currency_type,payment_method,transfers,agency_id
670,9.35,EUR,0,0,60
671,7.10,EUR,0,0,60
672,9.05,EUR,0,0,60
673,8.50,EUR,0,0,60
674,9.15,EUR,0,0,60
675,9.30,EUR,0,0,60
676,9.40,EUR,0,0,60
677,11.50,EUR,0,0,82
678,10.20,EUR,0,0,82
679,7.30,EUR,0,0,82
680,6.50,EUR,0,0,82
681,3.90,EUR,0,0,82
682,8.40,EUR,0,0,82
683,1.85,EUR,0,0,219
684,2.00,EUR,0,0,219
685,42.65,EUR,0,0,60
686,0.60,EUR,0,0,100047
687,0.50,EUR,0,0,100047
688,0.83,EUR,0,0,100047
689,0.96,EUR,0,0,100047
690,0.67,EUR,0,0,100047
691,0.30,EUR,0,0,25
692,1.00,EUR,0,0,289
693,3.10,EUR,0,0,289
694,1.80,EUR,0,0,289
695,1.10,EUR,0,0,289
696,2.80,EUR,0,0,289
697,1.90,EUR,0,0,289
698,4.30,EUR,0,0,289
699,2.20,EUR,0,0,289
700,3.40,EUR,0,0,289
701,2.10,EUR,0,0,289
702,1.40,EUR,0,0,289
703,1.60,EUR,0,0,289
704,2.30,EUR,0,0,289
705,1.70,EUR,0,0,289
706,2.60,EUR,0,0,289
707,1.30,EUR,0,0,289
708,2.50,EUR,0,0,289
709,3.70,EUR,0,0,289
710,1.50,EUR,0,0,289
711,4.00,EUR,0,0,289
712,3.80,EUR,0,0,289
713,3.50,EUR,0,0,289
714,3.20,EUR,0,0,289
715,2.00,EUR,0,0,289
716,1.20,EUR,0,0,289
717,2.90,EUR,0,0,289
718,4.10,EUR,0,0,289
719,8.70,EUR,0,0,71
720,7.20,EUR,0,0,71
721,7.60,EUR,0,0,71
722,5.50,EUR,0,0,71
723,6.00,EUR,0,0,71
724,8.40,EUR,0,0,71
725,9.20,EUR,0,0,71
726,5.80,EUR,0,0,71
727,5.70,EUR,0,0,71
728,5.60,EUR,0,0,71
729,4.90,EUR,0,0,71
730,9.40,EUR,0,0,71
731,4.20,EUR,0,0,71
732,8.80,EUR,0,0,71
733,7.10,EUR,0,0,71
734,9.00,EUR,0,0,71
735,8.20,EUR,0,0,71
736,6.20,EUR,0,0,71
737,5.40,EUR,0,0,71
738,5.00,EUR,0,0,71
739,4.30,EUR,0,0,71
740,6.50,EUR,0,0,71
741,7.90,EUR,0,0,71
742,6.30,EUR,0,0,71
743,4.60,EUR,0,0,71
744,6.60,EUR,0,0,71
745,7.50,EUR,0,0,71
746,3.90,EUR,0,0,71
747,8.60,EUR,0,0,71
748,3.70,EUR,0,0,71
749,3.80,EUR,0,0,71
750,4.10,EUR,0,0,71
751,5.20,EUR,0,0,71
752,5.90,EUR,0,0,71
753,4.50,EUR,0,0,71
754,4.00,EUR,0,0,71
755,7.80,EUR,0,0,71
756,9.80,EUR,0,0,71
757,7.30,EUR,0,0,71
758,6.80,EUR,0,0,71
759,7.00,EUR,0,0,71
760,7.40,EUR,0,0,71
761,4.40,EUR,0,0,71
762,8.50,EUR,0,0,71
763,9.50,EUR,0,0,71
764,5.30,EUR,0,0,71
765,6.10,EUR,0,0,71
766,8.10,EUR,0,0,71
767,9.70,EUR,0,0,71
768,8.90,EUR,0,0,71
769,9.30,EUR,0,0,71
770,6.90,EUR,0,0,71
771,9.10,EUR,0,0,71
772,7.70,EUR,0,0,71
773,4.70,EUR,0,0,71
774,5.00,EUR,0,0,289
775,4.40,EUR,0,0,289
776,0.00,EUR,0,0,289
777,2.70,EUR,0,0,289
778,4.90,EUR,0,0,289
779,2.40,EUR,0,0,289
780,3.00,EUR,0,0,289
781,3.30,EUR,0,0,289
782,4.80,EUR,0,0,289
783,3.60,EUR,0,0,289
784,3.90,EUR,0,0,289
785,4.20,EUR,0,0,289
786,10.50,EUR,0,0,82
787,4.60,EUR,0,0,289
788,4.70,EUR,0,0,289
789,0.00,EUR,0,0,60
790,3.15,EUR,0,0,71
791,0.52,EUR,0,0,25
792,3.00,EUR,0,0,219
793,2.90,EUR,0,0,219
794,2.75,EUR,0,0,219
795,2.95,EUR,0,0,219
796,2.30,EUR,0,0,82
797,1.50,EUR,0,0,82
798,2.20,EUR,0,0,219
799,1.77,EUR,0,0,60
800,8.30,EUR,0,0,82
801,7.10,EUR,0,0,82
802,7.00,EUR,0,0,82
803,8.90,EUR,0,0,82
804,6.60,EUR,0,0,82
805,5.30,EUR,0,0,82
806,4.60,EUR,0,0,82
807,2.00,EUR,0,0,117
808,2.66,EUR,0,0,60
809,1.34,EUR,0,0,60
810,0.10,EUR,0,0,71
811,1.07,EUR,0,0,60
812,0.80,EUR,0,0,208
813,1.00,EUR,0,0,208
814,2.00,EUR,0,0,208
815,2.20,EUR,0,0,208
816,1.70,EUR,0,0,208
817,1.60,EUR,0,0,208
818,1.10,EUR,0,0,208
819,2.10,EUR,0,0,208
820,1.30,EUR,0,0,208
821,0.90,EUR,0,0,208
822,1.80,EUR,0,0,208
823,2.30,EUR,0,0,208
824,1.90,EUR,0,0,208
825,1.50,EUR,0,0,208
826,2.50,EUR,0,0,208
827,1.40,EUR,0,0,208
828,1.20,EUR,0,0,208
829,2.40,EUR,0,0,208
830,3.35,EUR,0,0,25
831,3.45,EUR,0,0,25
832,3.60,EUR,0,0,25
833,3.55,EUR,0,0,25
834,3.80,EUR,0,0,25
835,3.85,EUR,0,0,25
836,3.65,EUR,0,0,25
837,3.75,EUR,0,0,25
838,0.00,EUR,0,0,25
839,8.35,EUR,0,0,47
840,0.00,EUR,0,0,47
841,5.85,EUR,0,0,47
842,17.00,EUR,0,0,47
843,0.10,EUR,0,0,60
844,0.15,EUR,0,0,60
845,0.40,EUR,0,0,60
846,0.20,EUR,0,0,60
847,0.50,EUR,0,0,60
848,0.30,EUR,0,0,60
849,0.25,EUR,0,0,60
850,0.44,EUR,0,0,25
